PX409-USBH - 487885,,PX409-USBH - 487884,
Units:,psi,Units:,psi
Custom Scalar:,none,Custom Scalar:,none
Custom Offset:,none,Custom Offset:,none
Start:,2025-07-28 11:27:04.244,Start:,2025-07-28 11:27:04.114
End:,2025-07-28 01:41:03.461,End:,2025-07-28 01:41:03.388
Count:,40464,Count:,40455
Low:,-14.6091842651367,Low:,-15.5867481231689
High:,1521.8125,High:,1518.83020019531

Time,Value,Time,Value
2025-07-28 11:27:42.192 AM,-14.4399337768555,2025-07-28 11:27:42.071 AM,-15.5346851348877
2025-07-28 11:27:42.390 AM,-14.455394744873,2025-07-28 11:27:42.270 AM,-15.5273628234863
2025-07-28 11:27:42.589 AM,-14.4456310272217,2025-07-28 11:27:42.469 AM,-15.5135326385498
2025-07-28 11:27:42.788 AM,-14.4472579956055,2025-07-28 11:27:42.667 AM,-15.5176010131836
2025-07-28 11:27:42.987 AM,-14.4667873382568,2025-07-28 11:27:42.866 AM,-15.5330581665039
2025-07-28 11:27:43.185 AM,-14.4374942779541,2025-07-28 11:27:43.065 AM,-15.5338706970215
2025-07-28 11:27:43.384 AM,-14.457836151123,2025-07-28 11:27:43.264 AM,-15.5574626922607
2025-07-28 11:27:43.583 AM,-14.4732971191406,2025-07-28 11:27:43.462 AM,-15.5436325073242
2025-07-28 11:27:43.781 AM,-14.4586505889893,2025-07-28 11:27:43.661 AM,-15.5436325073242
2025-07-28 11:27:43.980 AM,-14.4496994018555,2025-07-28 11:27:43.860 AM,-15.5387516021729
2025-07-28 11:27:44.179 AM,-14.4643459320068,2025-07-28 11:27:44.058 AM,-15.5306167602539
2025-07-28 11:27:44.377 AM,-14.4399337768555,2025-07-28 11:27:44.257 AM,-15.5639705657959
2025-07-28 11:27:44.576 AM,-14.4513263702393,2025-07-28 11:27:44.456 AM,-15.5460739135742
2025-07-28 11:27:44.775 AM,-14.480619430542,2025-07-28 11:27:44.655 AM,-15.547700881958
2025-07-28 11:27:44.973 AM,-14.4716682434082,2025-07-28 11:27:44.853 AM,-15.5354976654053
2025-07-28 11:27:45.172 AM,-14.5074710845947,2025-07-28 11:27:45.052 AM,-15.4997043609619
2025-07-28 11:27:45.371 AM,-14.480619430542,2025-07-28 11:27:45.251 AM,-15.5005168914795
2025-07-28 11:27:45.569 AM,-14.4773654937744,2025-07-28 11:27:45.450 AM,-15.5094661712646
2025-07-28 11:27:45.768 AM,-14.4619045257568,2025-07-28 11:27:45.648 AM,-15.5029582977295
2025-07-28 11:27:45.967 AM,-14.457836151123,2025-07-28 11:27:45.847 AM,-15.5281772613525
2025-07-28 11:27:46.165 AM,-14.4765510559082,2025-07-28 11:27:46.046 AM,-15.5273628234863
2025-07-28 11:27:46.364 AM,-14.4741096496582,2025-07-28 11:27:46.244 AM,-15.5306167602539
2025-07-28 11:27:46.563 AM,-14.4968929290771,2025-07-28 11:27:46.443 AM,-15.5338706970215
2025-07-28 11:27:46.761 AM,-14.4838752746582,2025-07-28 11:27:46.642 AM,-15.5159740447998
2025-07-28 11:27:46.960 AM,-14.465160369873,2025-07-28 11:27:46.841 AM,-15.5167865753174
2025-07-28 11:27:47.159 AM,-14.4562091827393,2025-07-28 11:27:47.039 AM,-15.5314311981201
2025-07-28 11:27:47.357 AM,-14.4366798400879,2025-07-28 11:27:47.238 AM,-15.5346851348877
2025-07-28 11:27:47.556 AM,-14.4106407165527,2025-07-28 11:27:47.437 AM,-15.5493278503418
2025-07-28 11:27:47.755 AM,-14.4098281860352,2025-07-28 11:27:47.635 AM,-15.5672245025635
2025-07-28 11:27:47.954 AM,-14.4114551544189,2025-07-28 11:27:47.834 AM,-15.5623435974121
2025-07-28 11:27:48.152 AM,-14.4147090911865,2025-07-28 11:27:48.033 AM,-15.5753593444824
2025-07-28 11:27:48.351 AM,-14.4391212463379,2025-07-28 11:27:48.232 AM,-15.5655975341797
2025-07-28 11:27:48.550 AM,-14.457836151123,2025-07-28 11:27:48.430 AM,-15.5485134124756
2025-07-28 11:27:48.748 AM,-14.450511932373,2025-07-28 11:27:48.629 AM,-15.5354976654053
2025-07-28 11:27:48.947 AM,-14.455394744873,2025-07-28 11:27:48.828 AM,-15.5167865753174
2025-07-28 11:27:49.146 AM,-14.455394744873,2025-07-28 11:27:49.027 AM,-15.5029582977295
2025-07-28 11:27:49.344 AM,-14.4415626525879,2025-07-28 11:27:49.225 AM,-15.5013313293457
2025-07-28 11:27:49.543 AM,-14.4521408081055,2025-07-28 11:27:49.424 AM,-15.4907550811768
2025-07-28 11:27:49.742 AM,-14.4423751831055,2025-07-28 11:27:49.623 AM,-15.5110931396484
2025-07-28 11:27:49.940 AM,-14.4220333099365,2025-07-28 11:27:49.821 AM,-15.5045852661133
2025-07-28 11:27:50.139 AM,-14.4187793731689,2025-07-28 11:27:50.020 AM,-15.5216674804688
2025-07-28 11:27:50.338 AM,-14.4130821228027,2025-07-28 11:27:50.219 AM,-15.5176010131836
2025-07-28 11:27:50.536 AM,-14.3984355926514,2025-07-28 11:27:50.418 AM,-15.5078392028809
2025-07-28 11:27:50.735 AM,-14.4293575286865,2025-07-28 11:27:50.616 AM,-15.5289897918701
2025-07-28 11:27:50.934 AM,-14.4431896209717,2025-07-28 11:27:50.815 AM,-15.5094661712646
2025-07-28 11:27:51.132 AM,-14.4513263702393,2025-07-28 11:27:51.014 AM,-15.511905670166
2025-07-28 11:27:51.331 AM,-14.4480724334717,2025-07-28 11:27:51.213 AM,-15.4988899230957
2025-07-28 11:27:51.530 AM,-14.4407482147217,2025-07-28 11:27:51.411 AM,-15.478551864624
